,cycle_epoch,train_loss,test_loss,train_acc,test_acc
32,0_32,2.4667703337330136,2.396154205409848,45.83083533173461,47.184
33,0_33,2.451154701239009,2.359159778575508,46.15307753796962,47.304
34,0_34,2.447008018585132,2.329832666990708,46.183990307753795,47.528
35,0_35,2.4384929556354917,2.242671956821364,46.45439898081535,49.624
36,0_36,2.414918065547562,2.186056635817703,46.87094074740208,49.736
37,0_37,2.410708932853717,2.2499319375777733,46.946817545963235,48.896
38,0_38,2.3938442995603517,2.2917828511218636,47.22097322142286,47.584
39,0_39,2.381675909272582,2.1720303321371275,47.48014088729017,50.24
40,0_40,2.3766143335331735,2.2200023981989645,47.52448041566746,49.816
41,0_41,2.3606708383293364,2.305178343033304,47.99691496802558,47.84
42,0_42,2.3544914068745,2.1247794956577066,48.02220723421263,51.536
43,0_43,2.339968650079936,2.1513332554272244,48.250462130295766,51.624
44,0_44,2.3312662370103916,2.093681801338585,48.50088679056754,52.4
45,0_45,2.3163063299360513,2.0804551328931535,48.791591726618705,52.176
46,0_46,2.3072760541566746,2.1486749259793028,48.84186400879297,51.144
47,0_47,2.2939617056354917,2.099272929892248,49.064498401278975,51.832
48,0_48,2.2869017286171065,2.1755249232661966,49.28682054356515,50.688
49,0_49,2.268441496802558,2.135325853921929,49.60344224620304,51.72
50,0_50,2.2649130695443644,2.202268104163968,49.71241756594724,49.872
51,0_51,2.248482464028777,2.0826532451473936,50.09242605915267,52.248
52,0_52,2.241400629496403,2.01296204328537,50.14519634292566,53.52
53,0_53,2.2285452887689847,2.1247343846729825,50.418103017585935,51.56
54,0_54,2.211730615507594,2.1510129741259982,50.67102567945644,50.808
55,0_55,2.207583932853717,1.9720025549129563,50.91988908872902,54.496
56,0_56,2.186644434452438,2.0108829055513655,51.266174560351715,54.296
57,0_57,2.1741200789368507,2.1587902514302,51.56936950439648,50.976
58,0_58,2.169742331135092,1.9026069726262773,51.63587879696243,55.304
59,0_59,2.1518254146682656,1.886652765225391,51.92096322941646,56.464
60,0_60,2.1377554206634692,1.9221232874052865,52.191059652278184,55.448
61,0_61,2.125402802757794,1.9548143209243307,52.435863808952845,54.792
62,0_62,2.111104866107114,1.8496690003239378,52.77933902877698,57.056
63,0_63,2.1046631444844124,1.8538959427755706,52.899243105515595,57.048
64,0_64,2.0891911470823343,1.78348815806058,53.259579836131095,58.432
65,0_65,2.0715989708233415,1.8524396529003067,53.55309502398081,57.064
66,0_66,2.050322242206235,1.7570184590865154,53.958708033573146,58.816
67,0_67,2.031490432653877,1.7768902681311782,54.32185501598721,58.384
68,0_68,2.020037095323741,1.80722291128976,54.54105465627498,58.2
69,0_69,2.005064698241407,1.7351430946466875,54.890150379696244,59.624
70,0_70,1.9917409822142287,1.7462237830064735,55.19022282174261,59.32
71,0_71,1.9729653776978417,1.717563807964325,55.47780525579537,59.656
72,0_72,1.9520102667865706,1.7156448254779892,55.89247352118305,60.176
73,0_73,1.9326039168665068,1.690228355174162,56.35991207034372,60.288
74,0_74,1.9146026928457234,1.6333391629919713,56.7230590527578,61.088
75,0_75,1.8917990607513988,1.621926800328858,57.04936051159073,61.92
76,0_76,1.8761084882094325,1.6284866564127864,57.42936900479616,61.736
77,0_77,1.8511909222621903,1.5524657113211495,57.90711181055156,63.04
78,0_78,1.8266761590727418,1.5421166176698646,58.45667216227019,63.672
79,0_79,1.7992137539968025,1.486028031427033,58.99405475619505,64.648
80,0_80,1.771189298561151,1.5902187447158658,59.53206185051958,62.544
81,0_81,1.7445137639888089,1.4257932950039298,60.17998101518784,65.8
82,0_82,1.7120053956834533,1.433974761135724,60.79448940847322,65.856
83,0_83,1.68037132793765,1.4288032711768637,61.39307304156675,65.72
84,0_84,1.6436725619504398,1.3335197750402956,62.25550809352518,68.48
85,0_85,1.6061869254596324,1.324092381462759,63.04300309752199,68.04
86,0_86,1.5667434802158273,1.2804606781930339,63.933540667466026,69.328
87,0_87,1.5167319269584332,1.2378174291581523,64.89246103117506,70.28
88,0_88,1.4584676009192645,1.2022955545357294,66.15644984012789,71.032
89,0_89,1.4063749000799362,1.1694317916218115,67.2652502997602,71.792
