,cycle_epoch,train_loss,test_loss,train_acc,test_acc
51,0_51,6.208033573141487,6.243321482016116,10.37326388888889,10.584
52,0_52,6.210081934452438,6.237289243814897,10.297387090327739,10.4
53,0_53,6.204598820943246,6.260862929480417,10.419164668265388,10.28
54,0_54,6.19837879696243,6.220232019619066,10.47849220623501,10.352
55,0_55,6.194756694644284,6.2080769392908834,10.540942246203038,10.552
56,0_56,6.193670063948841,6.2497119125054805,10.569357014388489,10.432
57,0_57,6.190822342126299,6.247557688732536,10.62400079936051,10.144
58,0_58,6.186887989608313,6.223052482215726,10.663032074340528,10.536
59,0_59,6.18611360911271,6.209599811203626,10.673960831334933,10.48
60,0_60,6.1819794164668265,6.197628429957798,10.702687849720224,11.12
61,0_61,6.179294064748201,6.1850831216695354,10.78949340527578,10.88
62,0_62,6.169914068745004,6.197460018858617,10.928756994404477,10.792
63,0_63,6.168190447641886,6.220808578997242,10.970910771382894,11.048
64,0_64,6.167003896882494,6.19850805340981,10.943432753796962,10.808
65,0_65,6.16730365707434,6.159990836162956,10.925322242206235,11.504
66,0_66,6.153939348521183,6.171735092085235,11.114233613109512,11.064
67,0_67,6.157686350919264,6.1629853637851015,11.098933353317346,11.392
68,0_68,6.146470323741007,6.1656391036753755,11.179806155075939,11.576
69,0_69,6.143959832134293,6.194137539182391,11.268797462030376,11.16
70,0_70,6.135616506794564,6.161342460281995,11.380270783373302,11.456
71,0_71,6.127348121502798,6.14589964127054,11.537644884092726,11.632
72,0_72,6.1250374700239805,6.138048780207732,11.54857364108713,11.936
73,0_73,6.123413768984812,6.127974320431145,11.554506394884093,11.904
74,0_74,6.1161320943245405,6.144829443522862,11.675971722621902,11.72
75,0_75,6.111548261390888,6.134302533402735,11.704386490807355,12.024
76,0_76,6.102542965627498,6.120400774235628,11.860199340527577,12.104
77,0_77,6.1025304756195045,6.134520496640887,11.833970323741006,11.848
78,0_78,6.0911520783373305,6.092283511648373,12.001648681055157,12.472
79,0_79,6.081222521982414,6.091955146011041,12.142785771382894,12.256
80,0_80,6.076788569144684,6.0933010772782925,12.215540067945643,12.552
81,0_81,6.069656774580336,6.073322155037705,12.272681854516387,12.584
82,0_82,6.056342426059152,6.065252046195829,12.441921462829736,12.72
83,0_83,6.048810951239009,6.050839283028427,12.569631794564348,13.048
84,0_84,6.044689248601119,6.05059924904181,12.565884792166267,12.984
85,0_85,6.021545263788969,6.040722642626081,12.879071742605916,13.176
86,0_86,6.014588329336531,6.026980881788293,12.991169564348521,13.28
87,0_87,5.990095423661071,6.012560776301792,13.273443745003997,13.376
88,0_88,5.977805255795364,6.00577467315051,13.433628097521982,13.608
89,0_89,5.970398681055156,5.993818326872223,13.482026878497203,13.72
